feature,importance
sp_rank,0.5384119268589284
total_tss,0.1067909411650723
pcs_total,0.09675573817856978
tes_total,0.07977703485017158
score_momentum,0.05152076540393519
rank_change,0.0443171145961503
tes_pcs_ratio,0.025344462079533284
tech_dominance_pct,0.022526018896342342
gender_encoded,0.019349130970649064
year,0.015206867000647738
